Index,Doc Type,Length,Content
182,Cradle_to_Cradle,1457,". EPR also incentivizes product design that promotes circularity throughout the material life cycle and takes account of the end of products’ life. Several EU Member States, including the Netherlands and France, already introduced EPR requirements for textile companies, given the obligation under EU waste legislation to establish separate collection of textile waste by 1 January 2025. This ambitious fast-changing regulatory landscape will progressively lead to a collective cooperation and better facilitation for companies and consumers to cycle their products. User Group for Apparel & Textiles View User Group Newsletters Read February 2023 Newsletter Read December 2023 Newsletter Marmara Hemp® upgraded to C2C Certified Material Health Certificate™ Platinum V4.0 A transformative milestone in sustainable textile industry. Textiles, Apparel & Footwear How Ocean Safe is harnessing technology to transform the textile industry Ocean Safe is on a mission to transform the textiles industry through its game-changing technology. It introduced its first material, naNea in 2021, as a circular alternative to conventional polyester. Textiles, Apparel & Footwear Timeless fashion, responsibly made: Ralph Lauren’s iconic sweater now C2C Certified® Global leader in luxury lifestyle products, Ralph Lauren, demonstrates its increasing commitment to responsible fashion by introducing its first-ever Cradle to Cradle (C2C) Certified® Gold, Cashmere Sweater"
183,Cradle_to_Cradle,1529,". Textiles, Apparel & Footwear Timeless fashion, responsibly made: Ralph Lauren’s iconic sweater now C2C Certified® Global leader in luxury lifestyle products, Ralph Lauren, demonstrates its increasing commitment to responsible fashion by introducing its first-ever Cradle to Cradle (C2C) Certified® Gold, Cashmere Sweater. Textiles, Apparel & Footwear Yoga clothing for a healthy and sustainable lifestyle Founded by German-Peruvian entrepreneur Heike Petersen Cunza, Wellicious just launched eco-friendly yoga exercise outfits. Textiles, Apparel & Footwear Alberto Candiani on C2C Certified® becoming a quality seal for the textile and fashion industry Alberto Candiani is at the helm of family-run company Candiani Denim, one of the world's most sustainable and innovative denim mills, established in 1938 in a small Italian town near Milan, today producing for many prestigious names in the fashion market. Textiles, Apparel & Footwear Inside Bananatex®: the world’s first technical fabric made from naturally grown Abacá banana plants. 100% made from plants cultivated in the Philippines within a natural ecosystem, Bananatex® was developed by Swiss bag brand and material innovators QWSTION in collaboration with Taiwan-based yarn specialists and weaving partners, united by the ambition to make a positive impact on the future of our planet. Textiles, Apparel & Footwear Product circularity in apparel, textile & footwear: R-strategies and the need to re-organize We are aiming for an economy that is 100% circular by 2050"
184,Cradle_to_Cradle,1561,". Textiles, Apparel & Footwear Product circularity in apparel, textile & footwear: R-strategies and the need to re-organize We are aiming for an economy that is 100% circular by 2050. As piles of wasted clothing are growing every day and less than 1% of current textile production is circular, there is unprecedented urgency to change sourcing models, design strategies and production systems in the Fashion, Apparel, Textile and Footwear sectors. Textiles, Apparel & Footwear Botto Giuseppe makes sustainability the new luxury Botto Giuseppe has said that “sustainability is the new luxury” – and in the eyes of this Italian mill, that means providing materials that enable the creation of beautiful luxury goods made in an environmentally conscientious way. Textiles, Apparel & Footwear Devon Leahy on the future of the fashion industry Watch our executive interview with Devon Leahy, VP of Sustainability at Ralph Lauren. She explains Ralph Lauren’s new sustainability strategy and why it involves certifying five of their iconic products as part of the Cradle to Cradle Certified® Products Program. She also shares insights about current transformations and expectations in the future of the fashion industry. Omer Ahmed on a partnership-based approach to sustainability Watch our executive interview with Omer Ahmed, CEO at Artistic Milliners as he covers the most urgent sustainability challenges facing the fashion industry today, and solutions for advancing the way the industry can design and make products with a positive impact for today and tomorrow"
185,Cradle_to_Cradle,1278,". Omer Ahmed on a partnership-based approach to sustainability Watch our executive interview with Omer Ahmed, CEO at Artistic Milliners as he covers the most urgent sustainability challenges facing the fashion industry today, and solutions for advancing the way the industry can design and make products with a positive impact for today and tomorrow. Artistic Milliners is a vertically integrated global leader in denim fabric and garment making headquartered in Karachi, Pakistan. Omer is also the co-founder of Star Fades International, a fully operational denim laundry and design center located in Los Angeles, California. How to certify your product? Learn more about the Cradle to Cradle Certified® Products Program and how to certify. Get Certified Stay in the loop Receive inspiring stories and updates directly in your mailbox Subscribe Get in touch Please select which of these topics best suits your inquiry General Certification Careers Cradle to Cradle Products Innovation Institute Inc. is a US 501c3 organization with EIN: 27-1832830 Cradle to Cradle Products Innovation Institute B.V. is registered in The Netherlands with KVK: 66481260 © Copyright 2025 Cradle to Cradle Products Innovation Institute. All Rights Reserved. Governance Careers Terms of Use Privacy"
186,Cradle_to_Cradle,1447,"How to talk about sustainability when the vibes feel off - Cradle to Cradle Products Innovation Institute = Certified Products Resources Subscribe to Newsletter Browse Certified Products Donate to the institute Donate The Standard Cradle to Cradle Certified® Version 4.1 Circularity Certification Material Health Certification Development of the Standard Recognitions Resources Get Certified The Program The Process Get Started EU Policy & Regulatory Framework Certified Products Our Community About Our Community Brands & Manufacturers Retailers Assessors The Institute About the Institute The Team Governance Events News & Media Careers Contact Us Donate Menu Close Subscribe to Newsletter Browse Certified Products Donate to the institute 24 Apr, 2025 How to talk about sustainability when the vibes feel off Talking about sustainability in today’s climate can be challenging. Our Director for the Built Environment, Ren DeCherney, explores how to reframe the narrative, stay resilient, and continue driving meaningful impact–even when the momentum feels uncertain. Circular Economy This blog post was written by Ren DeCherney, Director for the Built Environment at the Cradle to Cradle Products Innovation Institute. A leading voice in sustainable design, Ren brings deep expertise and fresh insight into how we can make meaningful impact–even when the vibes feel off. Let’s be real – talking about sustainability right now feels really tricky"
187,Cradle_to_Cradle,1352,". Circular Economy This blog post was written by Ren DeCherney, Director for the Built Environment at the Cradle to Cradle Products Innovation Institute. A leading voice in sustainable design, Ren brings deep expertise and fresh insight into how we can make meaningful impact–even when the vibes feel off. Let’s be real – talking about sustainability right now feels really tricky. With budgets tightening, priorities shifting, and a fair amount of skepticism in the air, it’s easy to wonder, Should I even say the word “sustainability” anymore? If you’ve been feeling this, you’re not alone. To unpack these challenges and explore how to navigate sustainability messaging in today’s climate, Ren DeCherney sat down with Holly Holton, a certified Gallup Strengths Coach with a background in corporate sustainability. Ren offered insights and strategies drawn from her experience as a designer and her work with manufacturers advancing innovation through the Cradle to Cradle Certified® program. Holly contributed guidance on building individual and team capacity through professional development, shaped by her experience as both a sustainability leader and a coach. Together, they explored why the conversation feels tougher, how professionals can reframe their approach, and how to continue making an impact no matter what the external climate may be"
188,Cradle_to_Cradle,1512,". Holly contributed guidance on building individual and team capacity through professional development, shaped by her experience as both a sustainability leader and a coach. Together, they explored why the conversation feels tougher, how professionals can reframe their approach, and how to continue making an impact no matter what the external climate may be. If you’re ready to make an impact, no matter how the vibes feel, here’s what you can do: Why sustainability feels harder right now The business landscape is shifting, and sustainability in all shapes and forms is now facing more scrutiny, especially in the US market. Companies are crunching numbers, investors are looking for quick returns, and some people are wondering if prioritizing sustainability still makes sense. “There’s a sense that people want to do the right thing, but they’re also worried about how it affects their bottom line,” Holly pointed out. Ren added “it’s not just about money, it’s about burnout. People are wondering if what they’re doing even makes a difference.” Sound familiar? The good news: There’s a way forward. Focus on client goals and reframe the conversation If sustainability talk is getting pushback our advice is to reframe the conversation. We heard someone in the industry recently say “we’re changing the words, not the strategy.” Instead of leading with sustainability goals, try focusing on things that resonate with your audience. This starts with understanding your client and their goals for the project"
189,Cradle_to_Cradle,1471,". We heard someone in the industry recently say “we’re changing the words, not the strategy.” Instead of leading with sustainability goals, try focusing on things that resonate with your audience. This starts with understanding your client and their goals for the project. Just like designers listen to client goals and turn it into compelling concepts and space planning, ask your client questions to understand what their needs are, what problems or challenges this project is trying to solve, what their priorities are as a company. From there, you can frame sustainability in the terms that resonate with them. Here are some examples of how this can look when you encounter real life roadblocks (that we have all faced at some time!): Focus on benefits, not buzzwords: For the C-suite or leadership, sustainability isn’t about being ‘green’–it’s about future-proofing their business and avoiding regulatory headaches. Cradle to Cradle Certified®, a multi-attribute and 3rd party verified program is a measurable pathway of innovation and sustainability optimization, giving you many entry points of specific benefits that you can frame conversations with leadership teams around. Are they concerned about rising energy costs? Decarbonization is a great way to reduce those costs long-term. Are they looking at de-risking their supply chain? Looking at material health and social fairness are great places to start in terms of evaluating risk throughout a supply chain"
190,Cradle_to_Cradle,1571,". Are they concerned about rising energy costs? Decarbonization is a great way to reduce those costs long-term. Are they looking at de-risking their supply chain? Looking at material health and social fairness are great places to start in terms of evaluating risk throughout a supply chain. Use different words: For example instead of saying “material transparency” or “healthy materials” you can advocate for creating spaces that feel good and create great customer experiences by using materials that don’t off gas and improve indoor air quality. Maybe even cite some studies showing people are more productive and happier in these spaces. When they say it’s too expensive: Is it though? Talk about the long term costs, maintenance costs, and durability of materials if you’re a designer. If you’re in a corporate role, talk about long term financial gains by reducing risk in your supply chain and staying ahead of upcoming regulations. Do it anyway, you just don’t have to say anything about it: Sometimes the most effective thing to do in times like this is just doing whatever you can and not mentioning it! For example, Ren mentioned adding a Red List Free paint into her firms base spec without telling anyone. Holly mentioned times when she presented options to leadership and every option met baseline sustainability criteria so she didn’t even have to make the argument to choose a sustainable option. If you are in a place where you can’t even bring it up, there might be ways for you to implement small impacts without having to ask permission or focus on it"
191,Cradle_to_Cradle,1518,". Holly mentioned times when she presented options to leadership and every option met baseline sustainability criteria so she didn’t even have to make the argument to choose a sustainable option. If you are in a place where you can’t even bring it up, there might be ways for you to implement small impacts without having to ask permission or focus on it. What you can do for yourself right now In uncertain and chaotic times (like right now!), humans naturally crave safety and certainty, but when those feel out of reach, the best thing we can do is focus on ourselves. That doesn’t mean forced optimism–it means building resilience, creativity, calm, and hope by developing self-awareness. Understanding our habits, beliefs, and subconscious programming helps us direct our energy and attention in ways that serve us. By becoming more aware of our inner critic and shifting our focus, we can navigate uncertainty with greater confidence and clarity. Here are some great ways to do that, at all levels in your career: For yourself: Finding a support system and holding onto hope comes from being together and focusing on things we can directly effect. Cultivate resilience by paying attention to your own attention–where are you focused? Instead of doomscrolling, find small things in a day that you can do that help regain your focus–get your body moving, text or call a friend, do a crossword puzzle or read a book. All of these strategies have been proven to help you feel better, more focused, and more resilient"
192,Cradle_to_Cradle,1457,". Cultivate resilience by paying attention to your own attention–where are you focused? Instead of doomscrolling, find small things in a day that you can do that help regain your focus–get your body moving, text or call a friend, do a crossword puzzle or read a book. All of these strategies have been proven to help you feel better, more focused, and more resilient. As a team leader: As a team leader, you have a huge influence on how your people show up. Gallup research shows that up to 70% of an employee’s engagement comes from their direct manager–not the company or its mission, but you. In a world struggling with loneliness, anxiety, and burnout, your leadership can give your team hope and direction. The key is knowing yourself, your strengths, your weaknesses, so you can lead with awareness and impact. Gallup’s 2025 Global Leadership Report, based on decades of research across 52 countries, revealed a powerful insight: the most impactful leaders provide hope, trust, compassion, and stability –with hope being the most frequently mentioned trait. This shows that as a leader, you have the power to be a beacon of hope for your team. It’s a big responsibility but understanding what your people truly need is the first step to build the trust that leads to hope. And remember, as a leader, you’re also a follower–these same qualities matter for you too. Leadership isn’t just about managing; it’s about mentoring and making a real difference"
193,Cradle_to_Cradle,1515,". This shows that as a leader, you have the power to be a beacon of hope for your team. It’s a big responsibility but understanding what your people truly need is the first step to build the trust that leads to hope. And remember, as a leader, you’re also a follower–these same qualities matter for you too. Leadership isn’t just about managing; it’s about mentoring and making a real difference. (Check out this great newsletter about how to be a better manager and leader) As a company leader: As a company leader, remember the four key needs of your people: hope, trust, compassion, and stability. Decide who you want your company to be–what you stand for and the values you uphold. When you lead with clarity and trust rather than fear, the right talent and clients will naturally find you, while those who don’t align will move on. Investing in a leadership coach, whether internal or external, can also be a game-changer in strengthening your impact. What you can do in your projects right now No matter where you sit in an organization, you can drive change. Here are some great actions you can practice to further your sustainability goals as a designer and as a manufacturer. Designers: Change specs! Pick big impact spec sections: floors, walls, ceilings, furniture, and swap in products that meet your sustainability goals. Start in one section and keep building on success! Align our ask around the mindfulMATERIALS Common Materials Framework – the more we align, the faster we can make real life impact"
194,Cradle_to_Cradle,1507,". Designers: Change specs! Pick big impact spec sections: floors, walls, ceilings, furniture, and swap in products that meet your sustainability goals. Start in one section and keep building on success! Align our ask around the mindfulMATERIALS Common Materials Framework – the more we align, the faster we can make real life impact. Don’t believe me, check out this great blog they wrote about how we can stop wasting our time and make real progress. Join groups doing this work in your community: inspiration, passion, and energy to keep going comes from being around others who are also doing the work! Keep asking! Be vocal with your reps and manufacturers about what your sustainability goals are and they will listen! The average designer has 26x the spending power of an average consumer, so manufacturers are definitely listening when you tell them what you want because they want your business. Manufacturers: Track sustainability requests: this helps build the business case for pursuing sustainability goals and certifications. Check out what your competitors are doing: understanding the competitive landscape can help build the case internally that sustainability isn’t just a “nice to have” but a “need to have.” Change procurement policies or supplier contracts (if you can): start working with suppliers who take sustainability as seriously as you do, and expand your impact beyond your own doors. Go for robust 3rd party verified certifications so you can prove that you’re walking the walk"
195,Cradle_to_Cradle,1551,".” Change procurement policies or supplier contracts (if you can): start working with suppliers who take sustainability as seriously as you do, and expand your impact beyond your own doors. Go for robust 3rd party verified certifications so you can prove that you’re walking the walk. Sum it up for me: Despite the challenges, one thing hasn’t changed: People want healthier, more sustainable products. The key is meeting them where they are, speaking their language, and making sustainability feel like a smart, strategic choice—not an extra burden. The vibes might feel off, but the work isn’t stopping. If we adjust our messaging and stay committed, we can make real impacts. Keep it up! Reach out to Ren DeCherney or Holly Holton to chat more about your sustainability goals or your professional development! Ren DeCherney, Director Built Environment Cradle to Cradle Products Innovation Institute [email protected] LinkedIn Holly Holton, Gallup Strengths Coach Holly Holton Workplace Resilience www.hollyholton.com LinkedIn Stay in the loop Receive inspiring stories and updates directly in your mailbox Subscribe Get in touch Please select which of these topics best suits your inquiry General Certification Careers Cradle to Cradle Products Innovation Institute Inc. is a US 501c3 organization with EIN: 27-1832830 Cradle to Cradle Products Innovation Institute B.V. is registered in The Netherlands with KVK: 66481260 © Copyright 2025 Cradle to Cradle Products Innovation Institute. All Rights Reserved. Governance Careers Terms of Use Privacy"
196,Cradle_to_Cradle,1558,"Why C2C Certified® remains essential despite the Green Claims Directive’s uncertain future - Cradle to Cradle Products Innovation Institute = Certified Products Resources Subscribe to Newsletter Browse Certified Products Donate to the institute Donate The Standard Cradle to Cradle Certified® Version 4.1 Circularity Certification Material Health Certification Development of the Standard Recognitions Resources Get Certified The Program The Process Get Started EU Policy & Regulatory Framework Certified Products Our Community About Our Community Brands & Manufacturers Retailers Assessors The Institute About the Institute The Team Governance Events News & Media Careers Contact Us Donate Menu Close Subscribe to Newsletter Browse Certified Products Donate to the institute 27 Jun, 2025 Why C2C Certified® remains essential despite the Green Claims Directive’s uncertain future The European Commission’s plan to withdraw the Green Claims Directive has caused concern in the sustainability community, but our efforts to fight greenwashing continue. The Institute The European Commission’s recent announcement of its intention to withdraw the Green Claims Directive has stirred confusion and concern across the sustainability landscape. The directive, designed to combat greenwashing by requiring companies to substantiate environmental claims, was a key pillar of the EU Green Deal. Yet despite this political turbulence, our resolve to tackle greenwashing remains firm, and Cradle to Cradle Certified® (C2C Certified®) products are more important than ever"
197,Cradle_to_Cradle,1525,". The directive, designed to combat greenwashing by requiring companies to substantiate environmental claims, was a key pillar of the EU Green Deal. Yet despite this political turbulence, our resolve to tackle greenwashing remains firm, and Cradle to Cradle Certified® (C2C Certified®) products are more important than ever. Why C2C Certified® is a strategic anchor In this moment of regulatory uncertainty, C2C Certified® offers a credible, future-proof alternative to ensure environmental claims remain trustworthy and transparent: Resilience amid deregulation: With parts of the EU Green Deal under pressure, voluntary leadership becomes even more critical. C2C Certified® enables companies to demonstrate proactive responsibility, regardless of legislative delays. Independent verification: C2C Certified® requires third-party assessment, ensuring that claims are not only ambitious but also verifiable, precisely the kind of rigor the Green Claims Directive aimed to enforce. Alignment with broader EU policy: The certification aligns with other key EU frameworks such as the CSRD and ESPR, helping companies stay ahead of compliance requirements even as some texts face revision or simplification. Market differentiation and trust: As public scrutiny of green claims intensifies, C2C Certified® provides a clear signal of integrity and commitment to circularity, material health, and social fairness. Leading by Example The uncertainty surrounding the Green Claims Directive is a reminder that political winds can shift"
198,Cradle_to_Cradle,1251,". Market differentiation and trust: As public scrutiny of green claims intensifies, C2C Certified® provides a clear signal of integrity and commitment to circularity, material health, and social fairness. Leading by Example The uncertainty surrounding the Green Claims Directive is a reminder that political winds can shift. But our mission to eliminate greenwashing by verifying that products are designed for health, circularity and fairness remains unchanged. By continuing to follow C2C Certified® framework, designers and manufacturers are equipped with science-based tools to create products that are designed for the future. Let’s not wait for the rules to catch up. Let’s lead with integrity, transparency, and ambition. Stay in the loop Receive inspiring stories and updates directly in your mailbox Subscribe Get in touch Please select which of these topics best suits your inquiry General Certification Careers Cradle to Cradle Products Innovation Institute Inc. is a US 501c3 organization with EIN: 27-1832830 Cradle to Cradle Products Innovation Institute B.V. is registered in The Netherlands with KVK: 66481260 © Copyright 2025 Cradle to Cradle Products Innovation Institute. All Rights Reserved. Governance Careers Terms of Use Privacy"
199,Cruelty_Free_International,723,"Organisation: Cruelty Free International URL: https://www.crueltyfreeinternational.org/ Page Title: animal testing facts  We estimate that at least 192.1 million animals were used for scientific purposes worldwide in 2015. This is the worldâ€™s most reliable figure to date. This includes nearly 80 million experiments on animals as well as millions of other animals who are killed for their tissues, used to breed genetically modified animal strains and bred but not used. The latest report from the European Commission shows that 9.3 million experiments were conducted on animals across the EU and Norway in 2022. Additionally, an estimated 207,724 tests using dogs and 158,780 tests using monkeys were conducted in 2015."
200,Cruelty_Free_International,681,"Organisation: Cruelty Free International URL: https://www.crueltyfreeinternational.org/ Page Title: cruelty-free trust  Unlike Cruelty Free International, our sister organisation Cruelty Free International Trust is a registered charity (Charity No. 1081183). The Cruelty Free International Trust charitable objectives are: researching alternatives to animal experiments, ensuring laws controlling animal experiments are properly complied with, educating people about animal experiments. These areas of work are distinct from the work Cruelty Free International carries out â€“ which includes lobbying governments, investigations, media activity and promoting cruelty free products."
201,Cruelty_Free_International,537,"Organisation: Cruelty Free International URL: https://www.crueltyfreeinternational.org/ Page Title: go cruelty-free  Hundreds of cosmetics, personal care and household brands are approved cruelty free under our Leaping Bunny programme. Itâ€™s the best assurance that a company has made a genuine commitment to help end animal testing. Brands must meet rigorous criteria which apply globally and extend over and above laws governing animal testing and include ongoing independent audits. Only then can they display the Leaping Bunny logo."
202,Cruelty_Free_International,831,"Organisation: Cruelty Free International URL: https://www.crueltyfreeinternational.org/ Page Title: investigative work on macaque trade  Bloomberg Investigates’ documentary on the trafficking of monkeys from Cambodia to the United States, has won the 2025 Emmy Award for Outstanding Short Documentary. ‘The Dirty Business of Monkey Laundering’ highlighted the investigation carried out by US government officials into the laundering of wild-caught long-tailed macaques in Cambodia, who were exported to American research laboratories with false paperwork and permits labelled as captive-bred. Our CEO, Michelle Thew, said: “The continued suffering of these intelligent and sentient animals is completely unacceptable. Taking the necessary steps to end the use of primates, and all animals, in research and testing is long overdue.”"
203,Cruelty_Free_International,802,"Organisation: Cruelty Free International URL: https://www.crueltyfreeinternational.org/ Page Title: Landing page  Cruelty Free International works to create a world where no animals suffer in a laboratory. Exposing the Unthinkable Help fund the undercover investigations that expose hidden cruelty like Vivotecnia. Graphic footage from our 2021 investigation into the Vivotecnia lab in Spain has now been featured in the new Prime Video documentary Infiltrada en el BÃºnker, revealing horrific cruelty. Your donation powers life-changing investigations. Help us end animal testing. The Cruelty Free International Leaping Bunny is the globally-recognisable gold standard for cosmetics, personal care and household products. Hundreds of brands are approved cruelty free under our Leaping Bunny programme."
204,Cruelty_Free_International,837,"Organisation: Cruelty Free International URL: https://www.crueltyfreeinternational.org/ Page Title: latest news  We applaud the National Institutes of Healthâ€™s (NIH) decision to stop funding new research grant applications which only use animal testing. The announcement, made by Acting NIH Deputy Director for Program Coordination, Planning, and Strategic Initiatives (DPCPSI), Dr. Nicole Kleinstreuer, also confirmed that all new NIH-funded projects must mention non-animal testing methods. This move strongly aligns with elements included in the Humane and Existing Alternatives in Research and Testing Sciences (HEARTS) Act, which would require the agency to incentivize the use of non-animal methods. Cruelty Free International has long championed the HEARTS Act and advocated for many of the changes that the NIH is now pursuing."
205,Cruelty_Free_International,660,"Organisation: Cruelty Free International URL: https://www.crueltyfreeinternational.org/ Page Title: media centre  Cruelty Free International is the leading organisation working to end animal experiments worldwide. We work to end animal experiments by investigating and exposing the reality of life for animals in laboratories, challenging decision-makers to make a positive difference for animals, and championing better science and cruelty free living. Our experts are available to address issues relating to the use of animals in research and testing, including ethical, scientific and welfare considerations as well as the application of non-animal methods."
206,Cruelty_Free_International,748,"Organisation: Cruelty Free International URL: https://www.crueltyfreeinternational.org/ Page Title: webinar on animal homing  We highlighted ways to help more animals find loving forever homes or peaceful sanctuary after their use in U.S. laboratories, in a webinar hosted by the American Bar Association. Monicaâ€™s presentation summarized the challenges raised by sanctuaries and rescue organizations. She pointed out specific shortcomings in National Institutes of Health policies that could be limiting the number of animals who are provided an opportunity to have a life beyond the laboratory. The American Bar Association represents the legal profession in the United States and is the largest voluntary professional association in the world."
207,Ecocert,670,"Organisation: Ecocert URL: https://www.ecocert.com/ Page Title: Certifications and Labels for Cosmetics  The development of a natural and organic cosmetics industry that is transparent to consumers and respectful of the environment is a major challenge for all players in the sector. We support you in tackling this challenge and thus contribute to the beauty of tomorrow. As world leader in natural and organic cosmetic certification, the Ecocert trademark is synonymous with guarantee. In order to manage the risks and initiate a progress strategy, Ecocert offers recognized standards in organic and natural cosmetics, in Fair Trade or Corporate Social Responsibility."
208,Ecocert,519,"Organisation: Ecocert URL: https://www.ecocert.com/ Page Title: Certifications for the sustainable materials Sector  The Materials sector, with the plastics industry at its head, has a major role to play in developing a circular economy that encourages re-use and recycling in particular. We are at your side to meet this challenge and contribute to a more sustainable materials industry. We encourage the reuse of packaging and the recycling of materials. Ecocert is the benchmark for ecological and organic labelling."
209,Ecocert,798,"Organisation: Ecocert URL: https://www.ecocert.com/ Page Title: Certifications for the Textile Sector  We are convinced that the textile-clothing sector has a crucial role to play in integrating better environmental and societal practices, and in contributing to the development of a circular economy that promotes recycling. We work closely with you to tackle these challenges and contribute to the ethical fashion of tomorrow. By operating locally in the main producing countries, we meet the requirements of the globalization of the sector. Ecocert is your reference to ecological and organic labelling. In order to manage your risks and initiate a progress strategy, Ecocert offers recognized standards for organic and ecological textiles, for Fair Trade or for Corporate Social Responsibility."
210,Ecocert,580,"Organisation: Ecocert URL: https://www.ecocert.com/ Page Title: Corporate Social Responsibility  When employed as a core business strategy, Corporate Social Responsibility (CSR) not only provides a management system capable of boosting the overall performance of the company, but contributes to a positive impact on the society and the environment. As pioneers in the development of standards characterised by rigorous environmental and social criteria, social responsibility lies at the very core of the Ecocert project. Our certifications provide assurance for your commitments."
211,Ecocert,641,"Organisation: Ecocert URL: https://www.ecocert.com/ Page Title: Fair for Life fair trade label  Fair For Life certification allows your products coming from Fair Trade to be commercialized worldwide. The Fair for Life certification guarantees: a fair purchase price superior to the market price, a protection system for the protection of producers in case of crisis: a minimum guaranteed price calculated on the basis of production costs, decent and safe working conditions throughout the supply chain, enhancement of the producers' autonomy, environmentally friendly agricultural practices encouraging the transition to organic agriculture."
212,Ecocert,961,"Organisation: Ecocert URL: https://www.ecocert.com/ Page Title: Landing page  Ecocert provides you with suitable solutions to promote good environmental and societal practices, across all sectors, all over the world. Obtaining an Ecocert certification allows you to highlight your environmentally friendly and socially conscious practices, and to establish a bond of trust with your stakeholders. Our teams help you choose the certifications that are best suited to your needs. Ecocert gives you the tools to move forward while adopting a responsible approach. Remotely or in-person, we provide the training that suits your needs. Ecocert helps you enhance your environmentally friendly and socially conscious practices. From analysing your needs to managing your sustainable development projects, we will guide you along the way! The challenges of sustainable development know no borders, which is why Ecocert works closely with you in more than 130 countries."
213,Ecocert,513,Organisation: Ecocert URL: https://www.ecocert.com/ Page Title: Organic Agriculture  Organic farming is an agricultural production and processing method that combines the best environmental practices with more natural manufacturing processes. Going organic means addressing the basic needs of the population in an innovative and modern way by reconnecting Humans and Nature. Ecocert contributed to the drafting of the first organic regulations and remains an expert sought by French and International authorities.
214,Ecocert,495,"Organisation: Ecocert URL: https://www.ecocert.com/ Page Title: Organic agriculture certification and label in the USA  USDA NOP certification allows your organic products to be marketed in the United States. USDA organic certification guarantees: climate and environment protection, conservation of soil fertility, preservation of biodiversity, respect of natural cycles and animal welfare, absence of use of chemical and synthetic products, absence of GMO, transparent labelling for consumers."
215,Ecocert,760,"Organisation: Ecocert URL: https://www.ecocert.com/ Page Title: Organic textile certification (GOTS)  GOTS certification allows your organic textiles to be commercialized worldwide. GOTS certification guarantees: environmentally friendly production and processing processes, respect and improvement of working conditions, promotion of the use of fibres from organic agriculture, prohibition of hazardous inputs such as toxic heavy metals, aromatic solvents etc. The organic certification through a certification body like Ecocert enables to display the ""organic textile"" mention in association with the GOTS logo. The marketed products are thus inspected as compliant to the GOTS standard, ensuring a guarantee all through the supply chain until the consumers."
216,Ecocert,517,"Organisation: Ecocert URL: https://www.ecocert.com/ Page Title: Spotlight on Climate Activator  Climate Activator certification is aimed at organizations of all sizes and sectors seeking to showcase their actions towards carbon neutrality. The certification emphasizes concrete commitments to reducing GHG emissions, with objectives aligned with the Paris Agreement. Over 60 organizations are in the certification process. Ecocert provides recognized expertise to ensure thorough assessment according to the standard."
217,Ecocert,492,"Organisation: Ecocert URL: https://www.ecocert.com/ Page Title: Sustainable Agriculture  Changing agricultural and agri-food models necessarily requires the involvement of all players in the sector. Ecocert assists you in the field implementation of more responsible environmental and societal methods throughout the supply chain. As a true partner, we encourage our customers to enhance their responsible strategies by offering supplementary services in fair trade, organic farming, and CSR."
218,Environmental_Justice_Foundation,677,"Organisation: Environmental Justice Foundation URL: https://ejfoundation.org/what-we-do/sustainable-fashion Page Title: climate  Environmental Justice Foundation | Climate Our international climate campaign pushes for governments to act quickly and ambitiously to cut carbon emissions, with a target of zero carbon by 2035. We produce compelling films, reports and front-line evidence of the impacts of climate change and offer solutions for how to mitigate them. We promote the protection of the natural ecosystems we need to support to avoid climate catastrophe, and uphold the fundamental principle that everyone should have a safe, sustainable environment in which to live."
219,Environmental_Justice_Foundation,146,Organisation: Environmental Justice Foundation URL: https://ejfoundation.org/what-we-do/sustainable-fashion Page Title: exploitation in Uzbekistan
220,Environmental_Justice_Foundation,1485,"Environmental Justice Foundation | Uncovering exploitation in… EJF first entered Uzbekistan in 2005. What we found there was one of the most exploitative enterprises in the world. Each year, the country’s billion dollar cotton industry was responsible for massive environmental destruction - including the draining of the Aral Sea - and was being propped up by state-controlled forced, child labour. EJF investigators documented children as young as seven handpicking the cotton for days on end; they were doing this not to help their parents’ meagre income on family farms, but because the brutal and corrupt government shut schools across the country and compelled children to labour in the fields. Award-winning investigations in our 2006 report, White Gold: the True Cost of Cotton, and award-winning film of the same name, highlighted the Uzbek government's routine use of forced labour. EJF’s follow-up investigative report, Still in the Fields, revealed that, despite Uzbekistan signing two International Labour Organization (ILO) Conventions on child labour, the government was still using child labour in cotton fields. In 2022, the Uzbek Forum for Human Rights released its monitoring report finding no state-imposed forced labour in the 2021 cotton harvest. Although now free of government-imposed child and forced labour, problems persist in Uzbek cotton production. EJF will continue working to secure transparent supply chains and greater support for sustainable fashion."
221,Environmental_Justice_Foundation,882,"Organisation: Environmental Justice Foundation URL: https://ejfoundation.org/what-we-do/sustainable-fashion Page Title: forests and wetlands  Environmental Justice Foundation | Forests and Wetlands Forests and wetlands sustain our world. They are essential allies in the climate crisis, locking vast amounts of carbon away for centuries. Among the planet’s most diverse ecosystems, forests are home to around 80% of the world’s terrestrial wildlife, and 40% of all plant and animal species depend on wetlands. But both forests and wetlands are being wiped out at an alarming rate. The destruction of forests and wetlands is an affront to the rights of communities that call these ecosystems home. EJF is campaigning to stop this wanton destruction of wetlands and forests, securing protection for the Pantanal in Brazil, the Okavango Delta in Botswana, and Canada’s ancient forests."
